date_time,location,classprice
Sat 6/1/2019 at 8:00 AM,Lifesaver Education,$195.00
Wed 7/17/2019 at 9:00 AM,Lifesaver Education,$195.00
Sat 7/6/2019 at 8:00 AM,Lifesaver Education,$195.00
Sun 7/28/2019 at 8:00 AM,Lifesaver Education,$195.00
Sun 6/30/2019 at 4:30 PM,Lifesaver Education,$225.00
Thu 9/12/2019 at 9:00 AM,Lifesaver Education,$195.00
Thu 6/6/2019 at 9:00 AM,Lifesaver Education,$150.00
Tue 6/4/2019 at 6:30 PM,Lifesaver Education,$225.00
Fri 6/7/2019 at 4:00 PM,Lifesaver Education,$225.00
Sun 6/30/2019 at 8:00 AM,Lifesaver Education,$195.00
Fri 6/21/2019 at 9:00 AM,Lifesaver Education,$195.00
Wed 7/31/2019 at 9:00 AM,Lifesaver Education,$150.00
Tue 6/11/2019 at 9:00 AM,Lifesaver Education,$195.00
Tue 7/9/2019 at 9:00 AM,Lifesaver Education,$150.00
Fri 7/12/2019 at 9:00 AM,Lifesaver Education,$195.00
Sat 7/27/2019 at 8:00 AM,Lifesaver Education,$150.00
Fri 7/26/2019 at 9:00 AM,Lifesaver Education,$150.00
Tue 7/23/2019 at 9:00 AM,Lifesaver Education,$150.00
Call to schedule,Call to schedule,$225.00
Fri 6/14/2019 at 9:00 AM,Lifesaver Education,$150.00
Sat 6/29/2019 at 8:00 AM,Lifesaver Education,$150.00
Wed 6/19/2019 at 9:00 AM,Lifesaver Education,$150.00
Sun 6/23/2019 at 8:00 AM,Lifesaver Education,$150.00
