date_time,location,classprice
Tue 6/4/2019 at 9:00 AM,Lifesaver Education,$55.00
Wed 7/17/2019 at 9:00 AM,Lifesaver Education,$55.00
Tue 7/16/2019 at 9:00 AM,Lifesaver Education,$55.00
Sat 7/20/2019 at 8:00 AM,Lifesaver Education,$55.00
Fri 7/26/2019 at 9:00 AM,Lifesaver Education,$55.00
Mon 7/22/2019 at 9:00 AM,Lifesaver Education,$55.00
Wed 8/7/2019 at 9:00 AM,Lifesaver Education,$55.00
Sun 7/14/2019 at 8:00 AM,Lifesaver Education,$55.00
Fri 7/12/2019 at 9:00 AM,Lifesaver Education,$55.00
Tue 7/30/2019 at 7:00 PM,Lifesaver Education,$55.00
Wed 7/31/2019 at 9:00 AM,Lifesaver Education,$55.00
Tue 7/9/2019 at 9:00 AM,Lifesaver Education,$55.00
Sat 7/6/2019 at 8:00 AM,Lifesaver Education,$55.00
Tue 7/2/2019 at 9:00 AM,Lifesaver Education,$55.00
Sat 7/27/2019 at 8:00 AM,Lifesaver Education,$55.00
Tue 7/30/2019 at 9:00 AM,Lifesaver Education,$55.00
Tue 7/23/2019 at 9:00 AM,Lifesaver Education,$55.00
Wed 7/24/2019 at 7:00 PM,Lifesaver Education,$55.00
Thu 7/25/2019 at 9:00 AM,Lifesaver Education,$55.00
Sun 7/21/2019 at 8:00 AM,Lifesaver Education,$55.00
Sat 6/1/2019 at 7:00 AM,Lifesaver Education,$75.00
Fri 7/19/2019 at 9:00 AM,Lifesaver Education,$55.00
Sun 7/28/2019 at 8:00 AM,Lifesaver Education,$55.00
Thu 7/18/2019 at 7:00 PM,Lifesaver Education,$55.00
Mon 7/15/2019 at 9:00 AM,Lifesaver Education,$55.00
Sat 7/13/2019 at 8:00 AM,Lifesaver Education,$55.00
Thu 7/11/2019 at 9:00 AM,Lifesaver Education,$55.00
Sun 7/7/2019 at 8:00 AM,Lifesaver Education,$55.00
Fri 7/5/2019 at 9:00 AM,Lifesaver Education,$55.00
Sun 6/30/2019 at 8:00 AM,Lifesaver Education,$55.00
Thu 6/27/2019 at 7:00 PM,Lifesaver Education,$55.00
Wed 7/3/2019 at 7:00 PM,Lifesaver Education,$55.00
Sat 6/29/2019 at 8:00 AM,Lifesaver Education,$55.00
Mon 7/29/2019 at 9:00 AM,Lifesaver Education,$55.00
Wed 7/10/2019 at 7:00 PM,Lifesaver Education,$55.00
Tue 6/25/2019 at 9:00 AM,Lifesaver Education,$55.00
Sat 6/15/2019 at 8:00 AM,Lifesaver Education,$55.00
Fri 6/21/2019 at 9:00 AM,Lifesaver Education,$55.00
Sat 6/29/2019 at 12:00 PM,Lifesaver Education,$55.00
Wed 6/19/2019 at 7:00 PM,Lifesaver Education,$55.00
Sun 6/23/2019 at 8:00 AM,Lifesaver Education,$55.00
Mon 6/17/2019 at 9:00 AM,Lifesaver Education,$55.00
Thu 6/13/2019 at 7:00 PM,Lifesaver Education,$55.00
Tue 6/11/2019 at 9:00 AM,Lifesaver Education,$55.00
Thu 6/6/2019 at 9:00 AM,Lifesaver Education,$55.00
Wed 7/24/2019 at 7:00 AM,Lifesaver Education,$75.00
Sun 6/30/2019 at 5:00 PM,Lifesaver Education,$75.00
Fri 6/28/2019 at 9:00 AM,Lifesaver Education,$55.00
Sat 6/8/2019 at 8:00 AM,Lifesaver Education,$55.00
Wed 6/5/2019 at 7:00 PM,Lifesaver Education,$55.00
Wed 6/26/2019 at 9:00 AM,Lifesaver Education,$55.00
Mon 6/24/2019 at 9:00 AM,Lifesaver Education,$55.00
Sat 6/22/2019 at 8:00 AM,Lifesaver Education,$55.00
Sat 6/8/2019 at 5:00 PM,Lifesaver Education,$75.00
Tue 6/18/2019 at 9:00 AM,Lifesaver Education,$55.00
Sun 6/16/2019 at 8:00 AM,Lifesaver Education,$55.00
Wed 6/12/2019 at 9:00 AM,Lifesaver Education,$55.00
Sun 6/9/2019 at 8:00 AM,Lifesaver Education,$55.00
Fri 6/7/2019 at 9:00 AM,Lifesaver Education,$55.00
Thu 6/20/2019 at 9:00 AM,Lifesaver Education,$55.00
Call to schedule,Call to schedule,$75.00
Fri 6/14/2019 at 9:00 AM,Lifesaver Education,$55.00
