speciality
"Anesthesiology,Cardiovascular Diseases,Critical Care Medicine,Dental Specialties,Dermatology,Emergency Medicine,Endocrinology,Family Medicine,Gastroenterology,Genomics,Hematology & Oncology,Hospital Medicine,Internal Medicine & Subspecialties,Laboratory Medicine & Pathology,Nephrology,Neurology & Neurologic Surgery,Nurse Practitioners/Physician Assistants,Nursing,Nutrition,Obstetrics, Gynecology & Women's Health,Ophthalmology,Orthopedic Surgery,Otorhinolaryngology,Pain Medicine,Pediatric & Adolescent Medicine,Pharmacology,Physical Medicine & Rehabilitation,Preventive Medicine,Psychiatry & Psychology,Public Health,Pulmonary Medicine,Quality,Radiology,Research,Special Topics in Health Care,Sports Medicine,Surgical Specialties,Transplant Medicine,Urology"
title,speciality,startdate,enddate,location,fee
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
"Maintenance of Certification in Anesthesia (MOCA) Simulation Course - June 15, 2019,3rd Annual Anesthesiology Update 2019,Anesthesia MOCA Simulation Course - Simulation Based Education for Practicing Anesthesiologists - October 4, 2019,Mayo Clinic Mechanical Ventilation Conference 2019,Maintenance of Certification in Anesthesia (MOCA) Simulation Course - October 12, 2019",,"8:00am,08/02/2019 - 7:00am,7:30am,10/10/2019 - 7:00am,8:00am","3:00pm,08/04/2019 - 12:30am,3:30pm,10/12/2019 - 12:00pm,3:00pm",,
