name,link,release_date,expiry_date,hours,para
A Woman's Genetic Risk for Developing Cancer,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 16, 2017","ugust 31, 2020",3 Contact hours |,"   Some families have multiple individuals with a history of malignancy, suggesting a hereditary risk beyond what would be expected by chance. Advances in genetic science and testing have made it possible to identify families at risk for developing malignancies because of mutated, absent, or defective genes."
"Diabetes in Children, 3rd Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 6, 2016","ecember 31, 2019",20 Contact hours | 5.4 Pharmacology hours,"  Diabetes mellitus is a complex, chronic metabolic disease that is becoming increasingly common. Both type 1 and type 2 diabetes are increasing in incidence in pediatric populations. There are excellent guidelines for the care of children with type 1 diabetes, but few research-based guidelines exist that are specific to the care of children with type 2 diabetes. Unfortunately, few interventions for type 2 diabetes in youth have been successful, making prevention of obesity by lifestyle interventions even more crucial. "
Diagnosing Alzheimer's Disease: Biological Processes and Behavioral Management,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ctober 10, 2017","eptember 30, 2020",CCMs ,"This course provides an overview of Alzheimer's Disease (AD), the biological processes related to AD, the criteria for its diagnosis, and key approaches which nurses can adopt in order to better understand, prevent, and effectively respond to the challenging behaviors demonstrated by patients who experience dementia, and specifically AD."
Diabetes Management: Pharmacotherapy Options for Diabetes Mellitus,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 27, 2016","uly 31, 2019","Dhiren K. Patel, PharmD, CDE, BC-ADM, BCACP, ","Diabetes is a chronic disease state with no known cure. For this reason, diabetes management is intended to prevent complications and improve the patient's quality of life. If diabetes is left untreated or is poorly managed, the patient's disease may progress more rapidly or precipitate a hyperglycemic crisis, or the patient may experience treatment-related adverse events, such as hypoglycemia."
Common Cancers Among Women,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 5, 2018","une 30, 2020",5 Contact hours | 0.5 Pharmacology hours,"   This course provides information that serves as either a comprehensive review or an enhancement to the nurse's present knowledge base of HPV, breast cancer, and common gynecologic cancers. This course also provides information that nurses can use to educate female patients; support them in their decision making concerning health matters; and assist them in feeling empowered as individuals, as mothers, as family members, and as valued members of our society."
Dietary Supplements and Complementary Therapies,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"uly 21, 2017","uly 31, 2020","Peggy Piascik, PhD, RPh, ","A significant number of Americans are rediscovering their culture's traditional ways of healing while learning about dietary supplements and complementary therapies from their neighbors, communities, the media, and their practitioners. Many are adopting integrative health practices to improve their health and wellbeing. Nurses have a centuries-old heritage of leading communities in the discovery of safe and effective means of incorporating traditional healing practices, such as herbal remedies, used in self-care and patient-care with emerging biomedical and technology-based modalities and practices. This course will provide nurses with an overview of dietary supplements and complementary therapies so that they can mindfully participate with their patients in decision making and continue nursing's heritage of demonstrating the art of integrative nursing."
Communication in Health Care,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"une 28, 2018","une 30, 2021","Mary Elaine Southard, DNP, RN, APHN-BC, HWNC-BC, DipCHom","Effective communication fosters the development of successful patient-provider relationships, which have a positive impact on patient outcomes and satisfaction. This course discusses the fundamentals of communication science and its specific relevance in nursing practice. It explores impediments to effective communication in healthcare settings, including the cultural, environmental, and organizational barriers to communication that can contribute and disrupt valuable interactions for healing. The course presents nurses with evidence-based strategies to improve the effectiveness of their communication with patients, families and colleagues."
Commonly Misused Substances,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"pril 9, 2018","ebruary 28, 2021","Audrey Darville, PhD, APRN, CTTS, FAANP","The content of the course focuses on the most commonly misused addictive drugs. Twelve types of substances are described, including their biochemistry and effects on the human body. The process of assessing and screening for these twelve substances is reviewed. Prevention practices and therapeutic modalities are also described."
"Youth Suicide, Updated 1st Edition",https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 19, 2017","ecember 19, 2020",New Jersey Social Workers,"Suicide and suicidal behaviors affect individuals, families, and communities, and addressing youth suicide has become a public health imperative. This intermediate-level course provides essential information on the tools needed to assess youth for suicide risk and to engage in interventions with these youth across various settings. Suicide risk factors are discussed, including psychiatric diagnoses, family and social factors, sexual minority status (individuals self-identified as lesbian, gay, bisexual, or transgender), bullying, and demographic factors like age, gender, race, and ethnicity."
Ginkgo Supplementation,https://www.westernschools.com/dental/courses/a-review-of-hiv-aids-for-dental-professionals,"ecember 18, 2017","ecember 31, 2020","Peggy Piascik, PhD, RPh","When nurses are knowledgeable about gingko supplements they can assist patients in the appropriate use of these products to achieve better health. However, the first step is to get to know the plant and its history. Medicinal plants in common use typically have multiple uses, and the people who know those plants and their uses have many stories to tell their nurses. The second step in providing care is to create and maintain a therapeutic relationship with patients and the public, who through their stories of use over time, can help build the knowledge base for safe and effective use of medicinal plants. This course will explain how nurses can incorporate multiple forms of evidence in the care of patients who are considering ginkgo for self-care."
